wavelength_nm,relative_power
380,49.98
385,52.31
390,54.65
395,68.7
400,82.75
405,87.12
410,91.49
415,92.46
420,93.43
425,90.06
430,86.68
435,95.77
440,104.86
445,105.35
450,105.85
455,101.35
460,96.85
465,105.35
470,113.85
475,119.75
480,125.65
485,125.5
490,125.35
495,123.38
500,121.41
505,115.62
510,109.83
515,109.1
520,108.37
525,107.8
530,107.23
535,106.3
540,105.38
545,104.85
550,104.32
555,102.6
560,100.88
565,100.0
570,99.12
575,98.91
580,98.7
585,96.9
590,95.1
595,91.96
600,88.82
605,89.6
610,90.38
615,90.68
620,91.0
625,89.61
630,88.22
635,86.3
640,84.38
645,82.88
650,81.38
655,80.03
660,78.68
665,74.0
670,69.32
675,70.65
680,71.98
685,73.44
690,74.9
695,68.51
700,62.11
705,55.08
710,48.05
715,45.67
720,43.3
725,40.13
730,36.96
735,36.75
740,36.54
745,34.15
750,31.76
755,30.11
760,28.47
765,26.13
770,23.79
775,21.56
780,19.33
