wavelength_nm,relative_power
380,19.2
385,20.33
390,21.47
395,22.63
400,23.81
405,25.0
410,26.2
415,27.39
420,28.6
425,29.81
430,31.01
435,54.62
440,39.02
445,34.62
450,35.8
455,36.99
460,38.15
465,39.3
470,40.45
475,41.58
480,42.69
485,43.78
490,44.85
495,45.91
500,46.94
505,47.95
510,48.94
515,49.91
520,50.85
525,51.78
530,52.66
535,53.54
540,54.38
545,100.0
550,67.2
555,56.76
560,57.51
565,58.22
570,58.91
575,64.24
580,78.87
585,60.81
590,61.39
595,61.95
600,62.48
605,62.99
610,63.46
615,63.92
620,64.35
625,64.75
630,65.13
635,65.49
640,65.82
645,66.13
650,66.42
655,66.69
660,66.93
665,67.16
670,67.35
675,67.54
680,67.7
685,67.84
690,67.96
695,68.06
700,68.15
705,68.21
710,68.27
715,68.3
720,68.32
725,68.32
730,68.3
735,68.27
740,68.22
745,68.17
750,68.09
755,68.01
760,67.9
765,67.79
770,67.67
775,67.53
780,67.38
