wavelength_nm,relative_power
380,9.91
385,11.03
390,12.22
395,13.5
400,14.86
405,16.3
410,17.84
415,19.46
420,21.17
425,22.97
430,24.86
435,26.84
440,28.9
445,31.05
450,33.29
455,35.61
460,38.02
465,40.51
470,43.08
475,45.72
480,48.45
485,51.24
490,54.11
495,57.04
500,60.04
505,63.1
510,66.23
515,69.41
520,72.64
525,75.92
530,79.25
535,82.62
540,86.03
545,89.47
550,92.95
555,96.46
560,100.0
565,103.56
570,107.14
575,110.73
580,114.34
585,117.95
590,121.58
595,125.2
600,128.83
605,132.45
610,136.07
615,139.67
620,143.27
625,146.85
630,150.41
635,153.96
640,157.48
645,160.98
650,164.45
655,167.9
660,171.31
665,174.69
670,178.03
675,181.34
680,184.61
685,187.84
690,191.02
695,194.17
700,197.27
705,200.32
710,203.33
715,206.28
720,209.19
725,212.05
730,214.86
735,217.61
740,220.32
745,222.96
750,225.56
755,228.1
760,230.59
765,233.02
770,235.39
775,237.71
780,239.97
